timestamp,ego_x,ego_y,opp_x,opp_y,distance,ego_speed,opp_speed,ego_laps,opp_laps
1776210185.8079946,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0,0
1776210185.8622267,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0,0
1776210185.9131622,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0,0
1776210185.9683003,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0,0
1776210186.0180545,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0,0
1776210186.1160572,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0,0
1776210186.1635833,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0,0
1776210186.205898,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0,0
1776210186.2569983,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0,0
1776210186.311155,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0,0
1776210186.3560228,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0,0
1776210186.4082878,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0,0
1776210186.4575331,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0,0
1776210186.5086749,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0,0
1776210186.5603225,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0,0
1776210186.6057117,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0,0
1776210186.6559682,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0,0
1776210186.7065,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0,0
1776210186.7642539,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0,0
1776210186.8344312,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0,0
1776210186.8843143,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0,0
1776210186.9361844,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0,0
1776210186.982612,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0,0
1776210187.0147915,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0,0
1776210187.0642774,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0,0
1776210187.1058636,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0,0
1776210187.1574368,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0,0
