timestamp,lap,ego_x,ego_y,ego_vel,ego_s,ego_d,opp_x,opp_y,opp_vel,opp_s,opp_d,rel_x,rel_y,rel_vel,rel_s,rel_d,imm_trajectory
1781385960.0980084,0,-12.725859158578114,47.36296712579777,1.1632603342708165,0.0,0.0,-15.815090733739995,47.92874633480066,1.9985568017890827,0.0,0.0,-3.0892315751618806,0.5657792090028835,0.8352964675182661,0.0,0.0,[]
1781385960.1474767,0,-12.75245368745385,47.385680703778235,1.1682559985487024,0.0,0.0,-15.87501253880348,47.92663062003519,1.9987530399487863,0.0,0.0,-3.1225588513496305,0.540949916256956,0.8304970414000838,0.0,0.0,[]
1781385960.1979752,0,-12.788846428599316,47.415173521176726,1.1738765654634977,0.0,0.0,-15.954953470370047,47.925224992642924,1.99897382534318,0.0,0.0,-3.166107041770731,0.5100514714661983,0.8250972598796822,0.0,0.0,[]
1781385960.247356,0,-12.82642246425397,47.44348658601865,1.1785019608956215,0.0,0.0,-16.034914766834113,47.925363171290414,1.9991555187150745,0.0,0.0,-3.2084923025801437,0.48187658527176325,0.8206535578194529,0.0,0.0,[]
1781385960.2978134,0,-12.864576439623606,47.471304637853386,1.182308388828575,0.0,0.0,-16.114873151604492,47.92663674598631,1.9993050416555798,0.0,0.0,-3.2502967119808854,0.4553321081329216,0.8169966528270047,0.0,0.0,[]
1781385960.3491693,0,-12.928025830597537,47.51571643218618,1.3895604562097783,0.0,0.0,-16.234737785235776,47.93140523453455,1.999481185756433,0.0,0.0,-3.3067119546382386,0.41568880234837025,0.6099207295466547,0.0,0.0,[]
1781385960.399793,0,-12.976045929705228,47.54790284994589,1.4976442198379578,0.0,0.0,-16.314565346706544,47.936350636388624,1.9995730464437673,0.0,0.0,-3.338519417001317,0.3884477864427325,0.5019288266058095,0.0,0.0,[]
1781385960.447333,0,-13.041400902569777,47.589926097802156,1.6062483974500406,0.0,0.0,-16.41422623977489,47.94431058018611,1.9996653494323748,0.0,0.0,-3.3728253372051142,0.35438448238395637,0.3934169519823343,0.0,0.0,[]
1781385960.4992144,0,-13.09766415166741,47.62382204496049,1.6759656291909315,0.0,0.0,-16.493827994199563,47.95215770296909,1.9997246022989643,0.0,0.0,-3.396163842532154,0.3283356580085979,0.3237589731080328,0.0,0.0,[]
1781385960.549089,0,-13.16311060624454,47.660637473925284,1.4329925525083465,0.0,0.0,-16.593387952109424,47.96136644056634,1.9997841404629875,0.0,0.0,-3.4302773458648836,0.30072896664105286,0.566791587954641,0.0,0.0,[]
1781385960.5974,0,-13.215805157351634,47.68802554930245,1.5333862762661337,0.0,0.0,-16.67318507928254,47.966925288655645,1.9998223603185206,0.0,0.0,-3.4573799219309063,0.2788997393531929,0.4664360840523869,0.0,0.0,[]
1781385960.6473598,0,-13.272330932153132,47.71592871642279,1.616004396168024,0.0,0.0,-16.753091164546174,47.97062903905982,1.9998538130078807,0.0,0.0,-3.4807602323930418,0.254700322637035,0.38384941683985674,0.0,0.0,[]
1781385960.7054784,0,-13.33206533622462,47.74408852700568,1.683994241355868,0.0,0.0,-16.833054737085206,47.972838211802255,1.9998796967181718,0.0,0.0,-3.500989400860586,0.22874968479657554,0.31588545536230384,0.0,0.0,[]
1781385960.74816,0,-13.406220667353217,47.77647939010955,1.5642444553097246,0.0,0.0,-16.93303719335646,47.974269094906745,1.9999057050562918,0.0,0.0,-3.526816526003241,0.19778970479719504,0.4356612497465673,0.0,0.0,[]
1781385960.7974186,0,-13.46588793389819,47.80005938049154,1.641398859494519,0.0,0.0,-17.013033408432264,47.97430953060663,1.9999224008167662,0.0,0.0,-3.5471454745340747,0.1742501501150926,0.3585235413222472,0.0,0.0,[]
1781385960.847477,0,-13.528808126134512,47.82297246006254,1.7048923885449725,0.0,0.0,-17.093026327576855,47.97352777414019,1.9999361404439966,0.0,0.0,-3.5642182014423422,0.15055531407764988,0.2950437518990241,0.0,0.0,[]
1781385960.8986619,0,-13.561293588182114,47.83421271069744,1.7322898833470766,0.0,0.0,-17.133020962722004,47.97295266130785,1.9999420691011567,0.0,0.0,-3.57172737453989,0.13873995061040745,0.2676521857540801,0.0,0.0,[]
1781385960.9502525,0,-13.627973050735552,47.85637961182802,1.7796903462815854,0.0,0.0,-17.213014476564698,47.972223428036514,1.9999523262832823,0.0,0.0,-3.5850414258291465,0.11584381620849626,0.22026198000169694,0.0,0.0,[]
1781385960.9994702,0,-13.714213986446746,47.88287376955176,1.8273190383499303,0.0,0.0,-17.31299797692333,47.97366761182373,1.9999626328528537,0.0,0.0,-3.5987839904765853,0.09079384227197096,0.17264359450292344,0.0,0.0,[]
1781385961.0522997,0,-13.80319364495567,47.90752926792308,1.8646508947151943,0.0,0.0,-17.412900922597284,47.977970692431924,1.9999707112475806,0.0,0.0,-3.609707277641615,0.07044142450884294,0.13531981653238634,0.0,0.0,[]
1781385961.1070738,0,-13.85777722234504,47.92099405417566,1.8830549220606474,0.0,0.0,-17.472783296602433,47.98170621560176,1.9999746937711393,0.0,0.0,-3.6150060742573924,0.06071216142610325,0.11691977171049195,0.0,0.0,[]
